team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BLACK TIDE MAFIA;Aku-_-Aku;1;0;0.00;299;299;0;0;1;1;1;1;2;2;11;11;3;3;0;0;0;300;51.78;1785;1785;1102;1102;683;683;13;13;59;59;201;201;103;103;98;98;2;2;9;9;52.54;52.54;16.47;16.47;48;48;184;184;100;100;1404;454560;454560;197.09;197.09;113.58;113.58;32.39;32.39;205.68;205.68;124.21;124.21;13.16;13.16;6.15;6.15;0.08;81;81;140.6;140.6;87.7;87.7;72.21;72.21;270.84;270.84;265.54;265.54;77.51;77.51;189.29;189.29;118.37;118.37;35.39;35.39;3041;2854;3248;3319;1;1;2;2
ABSOLUTE ZERO;B0T-AkakattackYT;5;3;60.00;2115;423;8;1.6;2;0.4;8;1.6;14;2.8;42;8.4;11;2.2;6;1.2;57.14;401.1;51.21;11316;2263.2;8418;1683.6;2898;579.6;105;21;245;49;2021;404.2;1074;214.8;947;189.4;13;2.6;80;16;170.94;34.19;164.41;32.88;2106;421.2;2032;406.4;241;48.2;1458.5;2379336;475867.19;869.21;173.84;665.47;133.09;203.72;40.74;1180.2;236.04;501.85;100.37;56.34;11.27;34.03;6.81;0.15;225;45;450;90;562.7;112.54;531.65;106.33;1206.74;241.35;1110.55;222.11;627.84;125.57;860.75;172.15;481.02;96.2;396.63;79.33;2425.12;2387.71;2495.45;3448.08;11;2.2;3;0.6
PHANTOM KINGS;B34N Chalupa;2;2;100.00;798;399;3;1.5;2;1;2;1;7;3.5;14;7;2;1;2;1;42.86;304;53.74;3526;1763;2080;1040;1446;723;26;13;132;66;789;394.5;351;175.5;438;219;4;2;37;18.5;41.69;20.84;66.11;33.06;102;51;463;231.5;47;23.5;1479.5;975693;487846.5;353.43;176.71;291.34;145.67;53.33;26.67;438.06;219.03;241.18;120.59;18.86;9.43;18.91;9.45;0.09;197;98.5;177;88.5;253.5;126.75;210.02;105.01;488.09;244.04;450.73;225.37;247.37;123.68;333.36;166.68;212.92;106.46;151.83;75.92;2978.5;2756.5;3205;3853.5;2;1;0;0
IT;CCravenn;4;1;25.00;754;188.5;1;0.25;2;0.5;2;0.5;4;1;30;7.5;11;2.75;6;1.5;25;344.68;45.21;8001;2000.25;5020;1255;2981;745.25;59;14.75;248;62;1640;410;968;242;672;168;12;3;51;12.75;178.6;44.65;96.2;24.05;946;236.5;943;235.75;236;59;1494.94;1939647;484911.75;659.29;164.82;585.78;146.45;135.91;33.98;846.97;211.74;497.29;124.32;36.74;9.18;18.54;4.63;0.14;139;34.75;429.6;107.4;421;105.25;403.78;100.94;977.23;244.31;945.02;236.26;435.97;108.99;690.5;172.62;458.97;114.74;231.53;57.88;3120.53;2954.26;3292.61;3736.5;1;0.25;6;1.5
AGNI KAI;CantRankFlowKain;6;1;16.67;2204;367.33;4;0.67;3;0.5;11;1.83;20;3.33;50;8.33;21;3.5;8;1.33;20;387.5;46.02;14323;2387.17;10286;1714.33;4037;672.83;122;20.33;332;55.33;2519;419.83;1342;223.67;1177;196.17;17;2.83;105;17.5;325.27;54.21;234.17;39.03;2118;353;1941;323.5;374;62.33;1547.14;3084507;514084.5;963.08;160.51;922.84;153.81;259.84;43.31;1295.46;215.91;751.61;125.27;98.71;16.45;44.09;7.35;0.14;308;51.33;717.2;119.53;675.9;112.65;595.98;99.33;1549.79;258.3;1390.43;231.74;755.33;125.89;1029.09;171.51;673.34;112.22;443.32;73.89;3026.22;2891.3;3149.76;3620.53;3;0.5;9;1.5
BLUE COAST;D1smant3l;3;0;0.00;517;172.33;0;0;0;0;3;1;5;1.67;33;11;10;3.33;2;0.67;0;400.07;43.43;6828;2276;4903;1634.33;1925;641.67;54;18;172;57.33;1487;495.67;974;324.67;513;171;11;3.67;46;15.33;209.92;69.97;68.66;22.89;536;178.67;524;174.67;128;42.67;1451.4;1401676;467225.34;512.7;170.9;406.71;135.57;103.14;34.38;552.2;184.07;437.26;145.75;33.09;11.03;18.19;6.06;0.14;131;43.67;328.2;109.4;415.9;138.63;383.62;127.87;638.94;212.98;707.9;235.97;314.67;104.89;527.39;175.8;331.53;110.51;163.65;54.55;2761.53;2862.93;2690.57;3495.66;2;0.67;6;2
TPA;EliasRoses;7;6;85.71;2297;328.14;7;1;5;0.71;8;1.14;18;2.57;36;5.14;11;1.57;4;0.57;38.89;397.34;42.73;15176;2168;9207;1315.29;5969;852.71;106;15.14;519;74.14;3455;493.57;1527;218.14;1928;275.43;17;2.43;170;24.29;318.65;45.52;120.73;17.25;1698;242.57;1285;183.57;194;27.71;1451.31;3302039;471719.84;1298.03;185.43;827.9;118.27;292.21;41.74;1497.45;213.92;837.23;119.6;83.47;11.92;80.24;11.46;0.15;542;77.43;746.6;106.66;769.3;109.9;673.56;96.22;1744.57;249.22;1458.51;208.36;959.61;137.09;1040.59;148.66;833.76;119.11;543.8;77.69;3152.83;3094.96;3225.01;4065.01;7;1;10;1.43
PHANTOM KINGS;Flailium;2;2;100.00;578;289;1;0.5;0;0;2;1;5;2.5;14;7;2;1;0;0;20;386.5;45.98;4364;2182;3090;1545;1274;637;37;18.5;101;50.5;735;367.5;444;222;291;145.5;5;2.5;25;12.5;97.27;48.64;59.13;29.56;406;203;356;178;39;19.5;1431.5;926235;463117.5;361.3;180.65;256.28;128.14;64.61;32.31;392.28;196.14;250.13;125.07;39.8;19.9;9.98;4.99;0.09;102;51;258.4;129.2;207.6;103.8;192.69;96.35;489.5;244.75;467.48;233.74;214.71;107.35;356.34;178.17;202.27;101.14;123.58;61.79;2694.5;2613;2773;3847;2;1;5;2.5
TPA;Freaki.;7;6;85.71;2158;308.29;8;1.14;3;0.43;5;0.71;17;2.43;36;5.14;11;1.57;5;0.71;47.06;389.57;49.62;15961;2280.14;11760;1680;4201;600.14;148;21.14;360;51.43;3877;553.86;2705;386.43;1172;167.43;34;4.86;98;14;196.45;28.06;271.71;38.82;1551;221.57;2939;419.86;520;74.29;1496.95;3412522;487503.16;1191.09;170.16;978.48;139.78;251.59;35.94;1474.04;210.58;847.35;121.05;99.78;14.25;68.07;9.72;0.12;578;82.57;847.9;121.13;772;110.29;699.4;99.91;1721.74;245.96;1558.19;222.6;862.94;123.28;1101.03;157.29;826.76;118.11;493.38;70.48;3417.5;3298.68;3517.64;4139.76;3;0.43;9;1.29
IT;Frsher;4;1;25.00;1078;269.5;1;0.25;2;0.5;5;1.25;8;2;30;7.5;11;2.75;3;0.75;12.5;427.12;50.82;9506;2376.5;6906;1726.5;2600;650;78;19.5;219;54.75;1558;389.5;775;193.75;783;195.75;8;2;60;15;203.93;50.98;160.78;40.2;813;203.25;911;227.75;23;5.75;1562.91;2057358;514339.5;608.03;152.01;572.87;143.22;216.43;54.11;729.76;182.44;606.48;151.62;61.09;15.27;45.63;11.41;0.11;392;98;438.1;109.53;523.3;130.82;432.75;108.19;964.56;241.14;953.35;238.34;443.99;111;711.25;177.81;440.76;110.19;245.32;61.33;3328.48;3239.27;3415.8;3974.93;3;0.75;1;0.25
