team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BLUE COAST;Adonis ;5;2;40.00;1413;282.6;3;0.6;1;0.2;5;1;11;2.2;41;8.2;13;2.6;1;0.2;27.27;350.03;54.84;9836;1967.2;7128;1425.6;2708;541.6;88;17.6;244;48.8;1048;209.6;617;123.4;431;86.2;7;1.4;39;7.8;192.89;38.58;241.77;48.35;528;105.6;1867;373.4;97;19.4;1388.87;2244841;448968.19;960.97;192.19;585.62;117.12;171.22;34.24;959.46;191.89;690.53;138.11;67.84;13.57;45.35;9.07;0.19;246;49.2;669.9;133.98;477.8;95.56;436.09;87.22;1281.72;256.34;1327.11;265.42;390.7;78.14;1024.48;204.9;499.08;99.82;194.26;38.85;2867.45;2802.24;2922.73;3330.83;0;0;6;1.2
ABSOLUTE ZERO;B0T-AkakattackYT;17;9;52.94;5377;316.29;15;0.88;8;0.47;17;1;41;2.41;134;7.88;43;2.53;11;0.65;36.59;414.49;48.59;40577;2386.88;31928;1878.12;8649;508.76;370;21.76;751;44.18;8324;489.65;5331;313.59;2993;176.06;64;3.76;254;14.94;714.54;42.03;490.62;28.86;6165;362.65;4852;285.41;1001;58.88;1472.8;8185548;481502.81;2874.62;169.1;2333.54;137.27;720.37;42.37;3697.19;217.48;2038.23;119.9;193.13;11.36;129.13;7.6;0.14;910;53.53;1630.1;95.89;2106.9;123.94;1936.92;113.94;3991.62;234.8;3775.22;222.07;2153.25;126.66;2805.86;165.05;1835.18;107.95;1287.54;75.74;2777.02;2592.69;2915.18;3625.58;23;1.35;30;1.76
PHANTOM KINGS;B34N Chalupa;5;3;60.00;2286;457.2;4;0.8;6;1.2;12;2.4;10;2;52;10.4;12;2.4;3;0.6;40;297.43;46.34;8629;1725.8;5018;1003.6;3611;722.2;59;11.8;305;61;1531;306.2;742;148.4;789;157.8;9;1.8;71;14.2;177.25;35.45;136.06;27.21;213;42.6;855;171;157;31.4;1481.63;2453934;490786.81;890.13;178.03;732.43;146.49;139.76;27.95;996.56;199.31;690.19;138.04;75.57;15.11;47.95;9.59;0.1;497;99.4;546.5;109.3;541.7;108.34;576.49;115.3;1185.85;237.17;1216.89;243.38;545.45;109.09;890.62;178.12;578.34;115.67;293.36;58.67;3084.44;3027.85;3140.19;3869;3;0.6;2;0.4
BLUE COAST;Bongo ';10;4;40.00;2511;251.1;4;0.4;1;0.1;10;1;23;2.3;63;6.3;24;2.4;10;1;17.39;326.61;54.47;19093;1909.3;12373;1237.3;6720;672;145;14.5;570;57;3092;309.2;1118;111.8;1974;197.4;15;1.5;174;17.4;327.21;32.72;241;24.1;925;92.5;2147;214.7;374;37.4;1447.85;4749258;474925.81;1775.5;177.55;1384.88;138.49;320.5;32.05;1792.46;179.25;1540.91;154.09;147.53;14.75;85.95;8.59;0.09;949;94.9;1076.1;107.61;1268.7;126.87;995.76;99.58;2485.16;248.52;2203.71;220.37;1277.2;127.72;1615;161.5;1139.2;113.92;726.71;72.67;2832.15;2744.99;2912.19;3536.25;4;0.4;9;0.9
AKG;CantRankFlowKain;18;13;72.22;7071;392.83;25;1.39;13;0.72;18;1;58;3.22;130;7.22;26;1.44;8;0.44;43.1;408.07;46.59;43627;2423.72;32348;1797.11;11279;626.61;373;20.72;937;52.06;9031;501.72;5500;305.56;3531;196.17;65;3.61;298;16.56;964.61;53.59;663.13;36.84;5975;331.94;4874;270.78;919;51.06;1594.58;9448105;524894.75;2597.1;144.28;2845.96;158.11;910.04;50.56;3857.69;214.32;2274.94;126.39;220.49;12.25;148.95;8.28;0.15;1017;56.5;1761.5;97.86;2267.7;125.98;1945.75;108.1;4407.4;244.86;3869.79;214.99;2483.36;137.96;2786.75;154.82;2112.35;117.35;1454.02;80.78;3157.91;3013.42;3328.94;3858.1;21;1.17;22;1.22
VOIDBORN;Chief;8;6;75.00;3099;387.38;10;1.25;6;0.75;4;0.5;31;3.88;39;4.88;11;1.38;7;0.88;32.26;448.64;53.52;21563;2695.38;15156;1894.5;6407;800.88;187;23.38;571;71.38;4446;555.75;2505;313.12;1941;242.62;31;3.88;174;21.75;349.02;43.63;180.42;22.55;3878;484.75;3704;463;653;81.62;1609.24;4363649;545456.12;1168.73;146.09;1152.2;144.02;557.97;69.75;1648.57;206.07;1083.85;135.48;146.46;18.31;71.13;8.89;0.11;669;83.62;864.9;108.11;884;110.5;710.39;88.8;2168.48;271.06;1714.56;214.32;1164.3;145.54;1236.59;154.57;912.7;114.09;729.59;91.2;2772.56;2620.49;2910.13;3706.28;11;1.38;10;1.25
POND POUNDERS;CumaKazi;13;1;7.69;4630;356.15;9;0.69;4;0.31;22;1.69;35;2.69;130;10;44;3.38;13;1;25.71;364.59;49.39;29182;2244.77;20312;1562.46;8870;682.31;251;19.31;776;59.69;3893;299.46;1709;131.46;2184;168;22;1.69;196;15.08;462.03;35.54;595.37;45.8;5532;425.54;4869;374.54;550;42.31;1526.34;6678620;513740;2053.58;157.97;2023.15;155.63;563.85;43.37;2942.6;226.35;1562.8;120.22;135.2;10.4;50.01;3.85;0.16;320;24.62;1606.6;123.58;1424.8;109.6;1293.42;99.49;3347.2;257.48;3292.14;253.24;1348.47;103.73;2517.26;193.64;1362.77;104.83;760.59;58.51;3218.53;3201.11;3219.88;3940.47;19;1.46;19;1.46
ACADEMY;DiosXone;12;6;50.00;3849;320.75;7;0.58;7;0.58;17;1.42;29;2.42;106;8.83;33;2.75;10;0.83;24.14;334.7;45.36;22673;1889.42;13898;1158.17;8775;731.25;159;13.25;752;62.67;3975;331.25;1711;142.58;2264;188.67;19;1.58;202;16.83;559.24;46.6;305.11;25.43;1484;123.67;1978;164.83;204;17;1468.09;5836955;486412.91;2098.43;174.87;1694.75;141.23;441.1;36.76;2436.85;203.07;1631.37;135.95;166.07;13.84;59.69;4.97;0.07;871;72.58;1452.9;121.07;1314.5;109.54;1174.81;97.9;3059.49;254.96;2774.08;231.17;1460.2;121.68;2066.6;172.22;1307.8;108.98;859.9;71.66;2778.42;2724.07;2806.92;3698.6;6;0.5;10;0.83
ICE TITANS;ERN;3;0;0.00;843;281;1;0.33;1;0.33;5;1.67;8;2.67;22;7.33;9;3;6;2;12.5;478.48;47.64;9041;3013.67;6833;2277.67;2208;736;76;25.33;187;62.33;2017;672.33;1388;462.67;629;209.67;15;5;49;16.33;196.08;65.36;125.35;41.78;1654;551.33;818;272.67;122;40.67;1604.51;1733026;577675.31;472.95;157.65;442.36;147.45;231.39;77.13;706.32;235.44;393.24;131.08;47.13;15.71;23.16;7.72;0.12;195;65;414.6;138.2;363.7;121.23;336.16;112.05;810.54;270.18;720.55;240.18;426.15;142.05;533.83;177.94;361.44;120.48;251.44;83.81;3103.86;2978.5;3275.36;3764.39;7;2.33;4;1.33
PHANTOM KINGS;Eholt05;5;3;60.00;1844;368.8;5;1;0;0;9;1.8;7;1.4;52;10.4;12;2.4;4;0.8;71.43;416.61;50.19;12105;2421;9266;1853.2;2839;567.8;113;22.6;258;51.6;2451;490.2;1678;335.6;773;154.6;19;3.8;75;15;277.01;55.4;166.1;33.22;2048;409.6;2129;425.8;269;53.8;1634.28;2719023;543804.62;644.94;128.99;828.49;165.7;290.6;58.12;1011.76;202.35;665.35;133.07;86.9;17.38;24.53;4.91;0.11;229;45.8;514;102.8;593.1;118.62;618.53;123.71;1145.48;229.1;1193.47;238.69;570.52;114.1;867.72;173.54;581.32;116.26;314.95;62.99;2997.59;2904.73;3070.79;3856.72;6;1.2;1;0.2
ACADEMY;EliasRoses;23;10;43.48;7211;313.52;12;0.52;14;0.61;35;1.52;54;2.35;190;8.26;64;2.78;18;0.78;22.22;400.57;39.73;51146;2223.74;30205;1313.26;20941;910.48;335;14.57;1805;78.48;11827;514.22;6099;265.17;5728;249.04;68;2.96;486;21.13;1369.76;59.55;351.15;15.27;6670;290;3113;135.35;723;31.43;1481.88;11203610;487113.47;4071.36;177.02;2983.14;129.7;1000.04;43.48;4883.46;212.32;2909.25;126.49;261.83;11.38;235.01;10.22;0.14;1720;74.78;2608.6;113.42;2519.7;109.55;2433.34;105.8;5621.16;244.4;5273.34;229.28;2781.19;120.92;3817.87;165.99;2672.56;116.2;1564.13;68.01;3137.49;3139.48;3148.14;3789.65;28;1.22;21;0.91
