player_id,discord_id,discord_display_name,tracker_url
p001,jtclipz,JTclipz,https://rocketleague.tracker.network/rocket-league/profile/epic/JTclipz/overview
p002,hulksmasher_07,Hulksmasher-07,https://rocketleague.tracker.network/rocket-league/profile/epic/Hulksmasher178/overview
p004,wrathadelic,Wrathadelic 激怒,https://rocketleague.tracker.network/rocket-league/profile/epic/wrathadelic/mmr?playlist=11
p027,ronx,//Ronx,
p029,miragesteezyboi,mirage,
p030,ewookamii,kyou,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198167790324/overview
p031,lavenderlamps,lavenderlamps,https://rocketleague.tracker.network/rocket-league/profile/epic/Lavender%20Lamps/overview
p032,pokeninja77,pokeninja77,https://rocketleague.tracker.network/rocket-league/profile/epic/Pokeninja77/overview
p033,lucasls0749_89752,Zero_RL61,https://rocketleague.tracker.network/rocket-league/profile/epic/Zero%20.%20RL/overview
p034,tavlorjo,t a v,
p035,viprerl,Viprerl,https://rocketleague.tracker.network/rocket-league/profile/epic/Vipre.rl/overview
p036,tynightg,TyNight_G,https://rocketleague.tracker.network/rocket-league/profile/epic/TynightG/overview
p037,sleepycrimson_,SleepyCrimson,https://rocketleague.tracker.network/rocket-league/profile/psn/SleepyCrimson_/overview
p038,984.g.light_44951,G-light,https://rocketleague.tracker.network/rocket-league/profile/epic/twitchcliped/overview
p039,shy_axolotl,Shy Axolotl,https://rocketleague.tracker.network/rocket-league/profile/epic/Shy%20Axolotl/overview
p040,bluemoon003,Bluemoon,https://rocketleague.tracker.network/rocket-league/profile/epic/its_BlueMoon/overview
p041,thisrealheretic,bren,https://rocketleague.tracker.network/rocket-league/profile/epic/IndiaTechCEO/overview
p042,tea__72,T E A _,https://rocketleague.tracker.network/rocket-league/profile/epic/t%20e%20a%20_/overview
p043,jake020282,Jyyrin,https://rocketleague.tracker.network/rocket-league/profile/epic/Enoch%C9%A3/overview
p044,fearxotic,FRҳ̸Ҳ̸ҳST,https://rocketleague.tracker.network/rocket-league/profile/epic/WXR%20FRXST/overview
p045,chieffed,Chief,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199041920789/overview
p046,.notshxdow.,S̷̷h̷a̷̷d̷̷o̷̷w̷,https://rocketleague.tracker.network/rocket-league/profile/epic/Shxdowツツ/overview
p047,kyser03,T _ K,https://rocketleague.tracker.network/rocket-league/profile/epic/T%20_%20K/overview
p048,keur31,keur_-,https://rocketleague.tracker.network/rocket-league/profile/epic/keur_-/overview
p049,sebster._,Sebby_321,https://rocketleague.tracker.network/rocket-league/profile/epic/sebby_321/overview
p050,zzznbbu,Saspyr,https://rocketleague.tracker.network/rocket-league/profile/epic/Z%20E%20N%20B%20U/overview
p051,fluffbal,Fluffball0204,https://rocketleague.tracker.network/rocket-league/profile/epic/Fluffball0204/overview
p052,fxscout.,fxscout,https://rocketleague.tracker.network/rocket-league/profile/epic/fxscout/overview
p053,skeddyz,Skeddyz,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198027745325/overview
p054,shrunkenacid,CumaKazi,https://rocketleague.tracker.network/rocket-league/profile/epic/CumaKazi/overview
p055,whackaduck,Whackaduck,https://rocketleague.tracker.network/rocket-league/profile/epic/Whackaduck/overview
p056,cyeq,cỵesc,https://rocketleague.tracker.network/rocket-league/profile/epic/c%E1%BB%B5esc/overview
p057,peww_,FC3S PEWW,https://rocketleague.tracker.network/rocket-league/profile/epic/FC3S%20PEWW/overview
p058,pickleskills_01604,PixelSkills,
p059,xaulty,Xaulty,https://rocketleague.tracker.network/rocket-league/profile/epic/xaulty/overview
p060,tigerr_rl,Tigerr_.,https://rocketleague.tracker.network/rocket-league/profile/epic/Tigerr_./overview
p061,peanuty3,Peanut!,https://rocketleague.tracker.network/rocket-league/profile/epic/Peanuty3/overview
p062,remydemike,remy_demike,https://rocketleague.tracker.network/rocket-league/profile/epic/remy_demike/overview
p063,ayjake_,AyJake,https://rocketleague.tracker.network/rocket-league/profile/epic/ayjake/overview
p064,jordo37,Jordo37_,
p065,3cisdead,OfficialThreeC,https://rocketleague.tracker.network/rocket-league/profile/epic/OfficialThreeC/overview
p066,jammiejam69,Jammiejam23,https://rocketleague.tracker.network/rocket-league/profile/epic/jammiejam23/overview
p067,hypervhillian,HyperChill96,https://rocketleague.tracker.network/rocket-league/profile/epic/HyperChill96/overview
p068,wikki_0618,Wikki,https://rocketleague.tracker.network/rocket-league/profile/epic/Wikki_RL/overview
p069,kordred,Kordred,https://rocketleague.tracker.network/rocket-league/profile/epic/Kordred/overview
p070,eliasroses,EliasRoses,https://rocketleague.tracker.network/rocket-league/profile/epic/EliasRoses/overview
p071,swixxt.,Swixxt.,https://rocketleague.tracker.network/rocket-league/profile/epic/Swixxt./overview
p072,drae.osas,cold.,https://rocketleague.tracker.network/rocket-league/profile/epic/drae_RL/overview
p073,willham30,TTVBigDubGaming,https://rocketleague.tracker.network/rocket-league/profile/epic/TTVbigdubgaming/overview
p074,bailbo,Bailbos,
p075,cars4jordan,cars4jordan,
p076,uncjeebs,Unc Jeebs,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198419315476/overview
p077,busterjames,Buster,https://rocketleague.tracker.network/rocket-league/profile/epic/Buster-James/mmr?playlist=11
p078,preaux.,Preaux,https://rocketleague.tracker.network/rocket-league/profile/epic/Preaux./mmr?playlist=11
p079,kanash1mi._,Kanashimi,https://rocketleague.tracker.network/rocket-league/profile/epic/K4na./overview
p080,lxqkz.,Freaki.,https://rocketleague.tracker.network/rocket-league/profile/epic/Freakiii./overview
p081,ttvbidnate_40152,Dirk Nowitzki lover,https://rocketleague.tracker.network/rocket-league/profile/epic/Ttvbidnate%20/overview
p082,logan0975,logan (yen),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198117604911/overview
p083,tranquelity,tranq,
p084,withheldhappiness,Happy,https://rocketleague.tracker.network/rocket-league/profile/epic/Withappyofficial/overview
p085,taydertot132,Tayd3rtot,https://rocketleague.tracker.network/rocket-league/profile/xbl/Tayd3rtot/overview
p086,suuth.west,ooostdysseus,https://rocketleague.tracker.network/rocket-league/profile/epic/ooostdysseus/overview
p087,ch3mic_0ffical,Ch3mic19,https://rocketleague.tracker.network/rocket-league/profile/epic/ch3mic19/overview
p088,pacoj1,Pacoj1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198856551841/overview
p089,iin0tar,Its_Ar,
p090,hoodiek1ng,HOODIEEEEE,
p091,officialnexus6,ImNexus6,https://rocketleague.tracker.network/rocket-league/profile/epic/ImNexus6/mmr?playlist=11
p092,dismantle0571,Dismantle,https://rocketleague.tracker.network/rocket-league/profile/psn/D1smant3l/overview
p093,xxwhitehammer99,XxWhiteHammer99,https://rocketleague.tracker.network/rocket-league/profile/psn/WhiteHammerxX99/overview
p094,bril584,Bril584,https://rocketleague.tracker.network/rocket-league/profile/epic/TacoPastorBrilly/overview
p095,eliroiscool,eliro,https://rocketleague.tracker.network/rocket-league/profile/epic/eliroiscool/overview
p096,whyiszerotaken,z...,https://rocketleague.tracker.network/rocket-league/profile/epic/žerö./overview
p097,bigwill671,TPG4LIFE_,https://rocketleague.tracker.network/rocket-league/profile/epic/TPG4LIFE_/overview
p098,popayes5,popayes5,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198400592238/overview
p099,noahandjacksooooon,FrostyJaxk,https://rocketleague.tracker.network/rocket-league/profile/xbl/FrostyJaxk/overview
p100,lievation,Lievation,https://rocketleague.tracker.network/rocket-league/profile/epic/Lievation/overview
p101,nugget003,Nuggy_003,https://rocketleague.tracker.network/rocket-league/profile/epic/Nuggy_003/overview
p102,conic_ow,Conic_OW,https://rocketleague.tracker.network/rocket-league/profile/epic/Conic_OW/overview
p103,blitzcomeback,Blitz!,https://rocketleague.tracker.network/rocket-league/profile/epic/Blitzcomeback/overview
p104,aidanroan,aidanroan,https://rocketleague.tracker.network/rocket-league/profile/epic/Aidanroan/overview
p105,lyfestori,LyfeStori,https://rocketleague.tracker.network/rocket-league/profile/epic/Lyfe%20of%20Tales/overview
p106,sk8boadr,Sk8boarddude360,https://rocketleague.tracker.network/rocket-league/profile/epic/Jeake./overview
p107,gohant123,Gohant123,
p108,raunchyromanian,RaunchyRomanian,https://rocketleague.tracker.network/rocket-league/profile/epic/RaunchyRomanian/overview
p109,its_debo.,Debo †,https://rocketleague.tracker.network/rocket-league/profile/epic/itsDebo./overview
p110,kizmet.exe,Kismet,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199011681440/overview
p111,rogue_91,vR0GUEv,https://rocketleague.tracker.network/rocket-league/profile/epic/vR0GUEv/overview
p112,beechpilot,Beech Pilot,
p113,jaeger6969,Ghostyloves69,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198433091648/overview
p114,.itszerox,Zerox,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199023999205/mmr?playlist=11
p115,yotes_rl,Yotes-,https://rocketleague.tracker.network/rocket-league/profile/epic/Yotes-/overview
p116,sym14,SYM.O5,https://rocketleague.tracker.network/rocket-league/profile/psn/Sym_14/overview
p117,tinytoast717,toastμ,https://rocketleague.tracker.network/rocket-league/profile/epic/BigToast717/overview
p118,lumoxity.,lumoxity.,https://rocketleague.tracker.network/rocket-league/profile/epic/Lumo.%20REBORN/performance
p119,temporary_username.123,Satoru Gojo,https://rocketleague.tracker.network/rocket-league/profile/epic/AidexΣ/overview
p120,astonish,Astonish,https://rocketleague.tracker.network/rocket-league/profile/epic/Astonish33/overview
p121,urrharu,Aternaッ,
p122,fallenrealms,FallenRealms,https://rocketleague.tracker.network/rocket-league/profile/epic/FallenRealms/overview
p123,bramstn_85670,oshep.,https://rocketleague.tracker.network/rocket-league/profile/epic/oshep./overview
p124,kytheguy,Uthceare,https://rocketleague.tracker.network/rocket-league/profile/epic/Uhtceare/overview
p125,oranger_2,orange,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199028918036/overview
p126,tnk_knights,op_knights,https://rocketleague.tracker.network/rocket-league/profile/epic/op_knights/overview
p127,hityouhard,dripz,https://rocketleague.tracker.network/rocket-league/profile/epic/dripzi%20./overview
p128,sillygooseseven,seven,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198248101774/overview
p129,lukedemodonoghue,EblockDemo89,https://rocketleague.tracker.network/rocket-league/profile/epic/EblockDemo89/overview
p130,ibaliistic,iBallistictyler,https://rocketleague.tracker.network/rocket-league/profile/epic/iBallisticTyler/overview
p131,cookie9288,Oni-Cookie,https://rocketleague.tracker.network/rocket-league/profile/epic/Cookie%20Rudeus%20jr/overview
