team_id,team_name,division
t01,Necro Death Knights,Challengers
t02,Catavale FC,Challengers
t03,Agni Kai Ocelot,Challengers
t04,VoidHearts,Challengers
t05,Absolute Ruin,Challengers
t06,Pond Pounders,Challengers
t07,Voidborn,Challengers
t08,Absolute Zero,Challengers
t09,Tree Pirates Legacy,Challengers
t10,Necro Revenant,Challengers
t11,Sublunary Freshman,Challengers
t12,Phantom Kings,Challengers
t13,Pentathletes Hiyahide,Challengers
t14,Tree Pirates Academy,Challengers
t15,The Crimson Order,Challengers
t16,Necro Bloodlust,Legends
t17,Necro Nightmare,Legends
t18,Sentinels,Legends
t19,Twisted Fates,Legends
t20,Eastern Shark Kings,Legends
t21,Agni Kai Lynx,Legends
t22,Infinite Void,Legends
t23,Phantom Emperors,Legends
t24,The Atomic Geese,Legends
t25,Tree Pirates Blue,Legends
t26,Voids Rebellion,Legends
t27,The Syndicate,Legends
t28,Sublunary JV,Legends
t29,Agni Kai Tigris,Legends
t30,Astronomical,Legends
t31,Pentathletes Scarlet,Legends
t32,Ibreon Vandalorum,Legends
t33,Pentathletes Maruzensky,Legends
t34,Havoc Esports,Legends
t35,Team Necro,Titans
t36,Sync Esports,Titans
t37,Agni Kai Gaming,Titans
t38,Bromance Esports,Titans
t39,Fallen Angels,Titans
t40,Black Dragons,Titans
t41,Team Jelly,Titans
t42,Sublunary Gaming,Titans
t43,Void Esports,Titans
t44,Solis,Titans
t45,Atlas,Titans
t46,Pentathletes Tachyon,Titans
t47,Necromancers,Titans
t48,Pentathletes Matikane,Titans
t49,Agni Kai Soul,Titans
