team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
NAV;Andy;4;1;25.00;907;226.75;0;0;1;0.25;5;1.25;5;1.25;38;9.5;5;1.25;1;0.25;0;409.32;48.22;8962;2240.5;6191;1547.75;2771;692.75;75;18.75;237;59.25;1277;319.25;803;200.75;474;118.5;10;2.5;41;10.25;157.84;39.46;92.36;23.09;895;223.75;1372;343;195;48.75;1633.92;2050085;512521.25;501.69;125.42;530.91;132.73;266.23;66.56;664.72;166.18;540.18;135.04;93.93;23.48;25.95;6.49;0.09;308;77;419.3;104.82;455.5;113.88;388.21;97.05;910.62;227.65;882.03;220.51;416.82;104.21;671.74;167.93;387.85;96.96;239.26;59.81;2847.6;2684;2980.58;3727.14;1;0.25;5;1.25
SUBLUNARY;Chazie.;5;2;40.00;1785;357;2;0.4;1;0.2;12;2.4;11;2.2;41;8.2;12;2.4;3;0.6;18.18;467.52;43.97;13687;2737.4;9652;1930.4;4035;807;109;21.8;329;65.8;3400;680;2152;430.4;1248;249.6;23;4.6;106;21.2;346.42;69.28;149.37;29.87;2487;497.4;1235;247;138;27.6;1662.8;2783298;556659.62;607.94;121.59;826.83;165.37;341.17;68.23;981.54;196.31;694.2;138.84;100.18;20.04;25.88;5.18;0.13;202;40.4;540.7;108.14;675.2;135.04;580.06;116.01;1195.86;239.17;1077.15;215.43;698.77;139.75;780.16;156.03;579.54;115.91;416.2;83.24;2784.67;2668.8;2892.13;3539.74;5;1;5;1
SUBLUNARY;Dorca;5;2;40.00;2070;414;7;1.4;2;0.4;3;0.6;22;4.4;41;8.2;12;2.4;3;0.6;31.82;433.88;44.55;12247;2449.4;8757;1751.4;3490;698;101;20.2;283;56.6;2805;561;1556;311.2;1249;249.8;19;3.8;95;19;323.3;64.66;123.33;24.67;1835;367;1202;240.4;354;70.8;1637.44;2746089;549217.81;703.77;140.75;673.33;134.67;401.82;80.36;866.98;173.4;798.04;159.61;113.91;22.78;26.01;5.2;0.12;210;42;550.6;110.12;603.6;120.72;550.26;110.05;1228.67;245.73;1081.33;216.27;697.6;139.52;808.93;161.79;523.59;104.72;446.4;89.28;2648.21;2399.65;2928.7;3417.43;8;1.6;5;1
RH;Dr3.;3;0;0.00;780;260;1;0.33;1;0.33;4;1.33;4;1.33;27;9;9;3;5;1.67;25;396.28;52.32;6520;2173.33;4823;1607.67;1697;565.67;59;19.67;146;48.67;2352;784;1717;572.33;635;211.67;20;6.67;50;16.67;88.26;29.42;155.02;51.67;1260;420;1112;370.67;281;93.67;1615.26;1567253;522417.66;402.04;134.01;436.32;145.44;184.12;61.37;599.23;199.74;363.13;121.04;60.12;20.04;13.39;4.46;0.1;133;44.33;273.4;91.13;426.6;142.2;388.43;129.48;634.04;211.35;621.92;207.31;400.56;133.52;443.74;147.91;321.73;107.24;257;85.67;3050.49;2903.81;3168.06;3860.83;3;1;3;1
RH;Duri;3;0;0.00;986;328.67;2;0.67;0;0;6;2;8;2.67;27;9;9;3;2;0.67;25;366.45;43.86;5973;1991;3747;1249;2226;742;44;14.67;190;63.33;990;330;481;160.33;509;169.67;6;2;45;15;132.03;44.01;70.19;23.4;547;182.33;706;235.33;127;42.33;1483.48;1432024;477341.34;503.92;167.97;369.7;123.23;143.91;47.97;576.34;192.11;380.3;126.77;60.88;20.29;17.6;5.87;0.1;182;60.67;347.1;115.7;302.6;100.87;276.69;92.23;740.84;246.95;689.63;229.88;327.9;109.3;528.62;176.21;301.03;100.34;187.88;62.63;2748.15;2604.98;2861.66;3679.46;4;1.33;5;1.67
SUBLUNARY;FearLxcid;5;2;40.00;1535;307;1;0.2;3;0.6;10;2;10;2;41;8.2;12;2.4;6;1.2;10;385.34;44.41;11538;2307.6;7971;1594.2;3567;713.4;88;17.6;295;59;2095;419;1261;252.2;834;166.8;14;2.8;65;13;260.37;52.07;128.3;25.66;1237;247.4;870;174;136;27.2;1523.19;2546824;509364.81;824.13;164.83;648.19;129.64;297.22;59.44;905.37;181.07;759.02;151.8;105.17;21.03;45.69;9.14;0.12;394;78.8;704.4;140.88;460.7;92.14;448.42;89.68;1321.14;264.23;1172.42;234.48;597.14;119.43;849.97;169.99;581.71;116.34;337.88;67.58;2767;2708.11;2823.13;3459.92;4;0.8;8;1.6
RH;HI pheel lonely;3;0;0.00;686;228.67;0;0;1;0.33;3;1;4;1.33;27;9;9;3;2;0.67;0;407.19;51.85;6973;2324.33;4663;1554.33;2310;770;52;17.33;193;64.33;1117;372.33;476;158.67;641;213.67;6;2;51;17;153.02;51.01;101.75;33.92;934;311.33;619;206.33;137;45.67;1580.34;1535968;511989.34;439.17;146.39;413.17;137.72;173.21;57.74;558.17;186.06;413.17;137.72;54.2;18.07;20.9;6.97;0.13;165;55;402.7;134.23;273;91;276.64;92.21;748.9;249.63;719.11;239.7;306.44;102.15;545.05;181.68;303.92;101.31;176.56;58.85;2959.63;2768.76;3124.77;3793.84;0;0;2;0.67
NAV;Halio Storn;4;1;25.00;1725;431.25;1;0.25;0;0;15;3.75;7;1.75;38;9.5;5;1.25;3;0.75;14.29;489.87;47.9;10347;2586.75;7594;1898.5;2753;688.25;92;23;224;56;2073;518.25;1435;358.75;638;159.5;16;4;57;14.25;259.23;64.81;123.81;30.95;2522;630.5;1679;419.75;190;47.5;1633.36;2050900;512725;493.18;123.29;524.53;131.13;288.11;72.03;700.51;175.13;496.23;124.06;109.07;27.27;32.91;8.23;0.25;129;32.25;476.2;119.05;430.5;107.62;354.77;88.69;951.03;237.76;901.69;225.42;404.12;101.03;683.4;170.85;396.57;99.14;225.85;56.46;2866.22;2708.62;2974.85;3759.24;7;1.75;3;0.75
6 SPEED;Hud;5;3;60.00;2115;423;3;0.6;3;0.6;16;3.2;12;2.4;43;8.6;10;2;2;0.4;25;461.27;48.05;13653;2730.6;9757;1951.4;3896;779.2;112;22.4;332;66.4;2223;444.6;1269;253.8;954;190.8;14;2.8;87;17.4;263.82;52.76;126.44;25.29;1192;238.4;1255;251;127;25.4;1529.74;2583700;516740;795.14;159.03;766.99;153.4;222.56;44.51;994.52;198.9;685.51;137.1;104.64;20.93;42.57;8.51;0.09;445;89;674.8;134.96;472.8;94.56;489.09;97.82;1295.59;259.12;1180.38;236.08;604.3;120.86;876.98;175.4;559.28;111.86;348.41;69.68;3031.59;2964.28;3069.96;3727.02;5;1;3;0.6
NCR;LEUMYY;7;6;85.71;2708;386.86;4;0.57;4;0.57;11;1.57;22;3.14;34;4.86;6;0.86;2;0.29;18.18;446.48;50.3;17735;2533.57;11971;1710.14;5764;823.43;154;22;514;73.43;6042;863.14;3994;570.57;2048;292.57;47;6.71;180;25.71;195.01;27.86;256.52;36.65;2539;362.71;3437;491;745;106.43;1684.41;3769969;538567;793.11;113.3;1047.8;149.69;494.94;70.71;1182.5;168.93;958.06;136.87;195.28;27.9;42.05;6.01;0.09;479;68.43;705.3;100.76;770.8;110.11;667.5;95.36;1668.34;238.33;1369.93;195.7;965.91;137.99;953.42;136.2;787.99;112.57;594.42;84.92;2706.71;2491.15;2946.15;3698.79;11;1.57;4;0.57
